row,Date,a,b
2518,9/29/21,18.755,10.09
2519,9/30/21,19.01,10.11
2520,10/1/21,19.24,10.13
2521,10/4/21,19.89,10.14
2522,10/5/21,21.045,10.16
2523,10/6/21,19.58,10.18
2524,10/7/21,18.89,10.2
2525,10/8/21,19.2,10.22
2526,10/11/21,18.36,10.24
2527,10/12/21,18.27,10.26
2528,10/13/21,18.52,10.28
2529,10/14/21,19.3799,10.3
2530,10/15/21,18.75,10.32
2531,10/18/21,17.42,10.34
2532,10/19/21,17.13,10.36
2533,10/20/21,17.34,10.38
2534,10/21/21,17.51,10.4
2535,10/22/21,17.92,10.42
2536,10/25/21,19.54,10.45
2537,10/26/21,19.15,10.47
2538,10/27/21,19.74,10.49
2539,10/28/21,19.085,10.51
2540,10/29/21,18.05,10.54
2541,11/1/21,17.09,10.56
2542,11/2/21,17.95,10.58
2543,11/3/21,18.44,10.61
2544,11/4/21,18.49,10.63
2545,11/5/21,18.37,10.66
2546,11/8/21,18.05,10.68
2547,11/9/21,16.4097,10.71
2548,11/10/21,15.785,10.73
2549,11/11/21,16.37,10.76
2550,11/12/21,15.87,10.78
2551,11/15/21,16.1145,10.81
2552,11/16/21,17.08,10.84
2553,11/17/21,16.07,10.86
2554,11/18/21,16.23,10.89
2555,11/19/21,16.29,10.92
2556,11/22/21,15.575,10.95
2557,11/23/21,16.342,10.98
2558,11/24/21,16.55,11.01
2559,11/26/21,16.78,11.04
2560,11/29/21,15.79,11.07
2561,11/30/21,14.69,11.1
2562,12/1/21,13.83,11.13
2563,12/2/21,13.25,11.16
2564,12/3/21,13.32,11.19
2565,12/6/21,11.9,11.22
2566,12/7/21,12.015,11.25
2567,12/8/21,12.47,11.29
2568,12/9/21,12.341,11.32
2569,12/10/21,12.53,11.36
2570,12/13/21,12.35,11.39
2571,12/14/21,12.085,11.43
2572,12/15/21,12.39,11.46
2573,12/16/21,12.21,11.5
2574,12/17/21,11.99,11.54
2575,12/20/21,12.325,11.57
2576,12/21/21,12.41,11.61
2577,12/22/21,12.7,11.65
2578,12/23/21,11.69,11.69
2579,12/27/21,12.47,11.73
2580,12/28/21,12.64,11.77
2581,12/29/21,12.67,11.81
2582,12/30/21,11.755,11.85
2583,12/31/21,12.04,11.9
2584,1/3/22,12.085,11.94
2585,1/4/22,12.3233,11.99
2586,1/5/22,12.5,12.03
2587,1/6/22,12.64,12.08
2588,1/7/22,12.85,12.12
2589,1/10/22,13.21,12.17
2590,1/11/22,13.395,12.22
2591,1/12/22,15.02,12.27
2592,1/13/22,14.15,12.32
2593,1/14/22,13.86,12.37
2594,1/18/22,14.035,12.42
2595,1/19/22,13.415,12.48
2596,1/20/22,12.71,12.53
2597,1/21/22,12.88,12.59
2598,1/24/22,13.27,12.64
2599,1/25/22,13.335,12.7
2600,1/26/22,13.91,12.76
2601,1/27/22,14.16,12.82
2602,1/28/22,16.0501,12.88
2603,1/31/22,16.43,12.94
2604,2/1/22,16.27,13.01
2605,2/2/22,18.39,13.07
2606,2/3/22,16.87,13.14
2607,2/4/22,15.705,13.21
2608,2/7/22,14.42,13.28
2609,2/8/22,14.67,13.35
2610,2/9/22,13.94,13.42
2611,2/10/22,13.59,13.49
2612,2/11/22,13.57,13.57
2613,2/14/22,14.21,13.65
2614,2/15/22,14.645,13.73
2615,2/16/22,15.43,13.81
2616,2/17/22,15.3,13.89
2617,2/18/22,15.32,13.98
2618,2/22/22,15.53,14.06
2619,2/23/22,15.97,14.15
2620,2/24/22,16.18,14.25
2621,2/25/22,15.55,14.34
2622,2/28/22,15.38,14.44
2623,3/1/22,15.66,14.54
2624,3/2/22,16.375,14.64
2625,3/3/22,16.29,14.74
2626,3/4/22,16.99,14.85
2627,3/7/22,16.83,14.96
2628,3/8/22,15.88,15.07
2629,3/9/22,15.82,15.19
2630,3/10/22,16.02,15.31
2631,3/11/22,16.46,15.43
2632,3/14/22,16.0599,15.56
2633,3/15/22,15.69,15.69
2634,3/16/22,16.32,15.82
2635,3/17/22,17.07,15.96
2636,3/18/22,17.02,16.11
2637,3/21/22,16.72,16.26
2638,3/22/22,17.7,16.41
2639,3/23/22,17.95,16.57
2640,3/24/22,17.85,16.73
2641,3/25/22,19.115,16.9
2642,3/28/22,19.155,17.07
2643,3/29/22,18.57,17.25
2644,3/30/22,18.96,17.44
2645,3/31/22,19.61,17.63
2646,4/1/22,19.55,17.83
2647,4/4/22,19.82,18.04
2648,4/5/22,20.74,18.26
2649,4/6/22,20.94,18.49
2650,4/7/22,20.94,18.72
2651,4/8/22,21.8339,18.97
2652,4/11/22,22.68,19.22